AFF_LOVE_POINT	Liebespunkte: %d%%
BANK_WRONG_ID	Incorrect access name	
BANK_WRONG_PW	Incorrect password	
BATTLEPASS_ALREADY_GET_REWARD	Du hast diese Belohnung bereits beansprucht!	
BATTLEPASS_DEACTIVE_TEXT_1	"Du musst den ""Battle Pass"" kaufen, um"	
BATTLEPASS_DEACTIVE_TEXT_2	Die Missionen zu erfüllen und die Belohnungen zu erhalten.	
BATTLEPASS_DESCRIPTION	Beschreibung	
BATTLEPASS_INFORMATION	Informationen	
BATTLEPASS_INFORMATION_EX	Pass-Informationen	
BATTLEPASS_REWARD_INFO	Du musst alle Missionen beenden!	
BATTLEPASS_TIME_FORMAT	%2d Tage %2dh %2dm %2ds	
BATTLEPASS_TITLE	[F6] Battlepass	
BATTLEPASS_TOTAL_PROGRESS	Gesamtfortschritt	
BATTLE_PASS_MISSION_STATUS	Status:	
BATTLE_POINT	Gefechtspunkte	
BERANSETAOU	Drachentempel	
BIO_CAN_GIVE_ITEM	Du kannst das folgende Item(s) abgeben!	
BIO_CHOOSE_GIFT	Wähle eine Prämie:	
BIO_DONT_HAVE_MISSION	Du hast keine Mission zur Verfügung.	
BIO_EMPTY_BONUS	Es gibt keinen Bonus.	
BIO_FIND_STONE	Finde den Stein der Mission!	
BIO_GIFT	Belohnung	
BIO_GIVE_MISSION	Liefern	
BIO_MISSION_TITLE	Level %d: %s	
BIO_NEED_LEVEL	Dein Level ist zu niedrig. Erforderliches Level: %d	
BIO_TITLE	Biologist	
BONUS_END_IN	Endet am: %s	
BONUS_EVENT	Bonus:	
BONUS_START_IN	Beginnt in: %s	
BONUS_TABLE_1	Jinno-Spieler	
BONUS_TABLE_2	ShinSoo Spieler	
BONUS_TABLE_4	Spieler	
BONUS_TABLE_5	Gewonnene Duelle	
BONUS_TABLE_6	Verlorene Duelle	
BONUS_TABLE_7	Getötete Monster	
BONUS_TABLE_8	Besiegte Bosse	
BONUS_TABLE_9	Zerstörte Metinen	
BONUS_TABLE_TITLE_1	PVM-Attribute	
BONUS_TABLE_TITLE_2	PVP-Attribute	
BONUS_TABLE_TITLE_3	Offensiv-Attribute	
BONUS_TABLE_TITLE_4	Defensiv-Attribute	
CANCEL	Abbrechen	
CANNOT_ATTACK_DEST_IN_SAFE	Der Kämpfer ist zu weit entfernt.
CANNOT_ATTACK_SELF_IN_SAFE	Ich kann meinen Gegner nicht von hier aus angreifen.
CANNOT_EQUIP_IN_EXCHANGE	Du kannst deine Ausrüstung beim Handeln nicht wechseln.
CANNOT_EQUIP_IN_SHOP	Du kannst deine Ausrüstung nicht wechseln, während du handelst.
CANNOT_SHOOT_DEST_IN_SAFE	Der Feind ist zu weit weg.
CANNOT_SHOOT_EMPTY_ARROW	Ich brauche einen Pfeil.
CANNOT_SHOOT_SELF_IN_SAFE	Ich kann meinen Gegner nicht von hier aus angreifen.
CANNOT_SKILL_APPROACH	Ich bin mir sicher, dass ich nicht näher herankomme.
CANNOT_SKILL_ATTACK	Ich kann das nicht angreifen.
CANNOT_SKILL_DEST_IN_SAFE	Der Gegner ist zu weit weg.
CANNOT_SKILL_EQUIP_FISHING_ROD	Du kannst nicht angeln, ohne eine Angel ausgerüstet zu haben.
CANNOT_SKILL_HAVE_TO_RIDE	Ich brauche ein Pferd, um dies nutzen zu können.
CANNOT_SKILL_NEED_EMPTY_BOTTLE	Ich habe keine leere Flasche.
CANNOT_SKILL_NEED_POISON_BOTTLE	Ich habe keine Giftflasche.
CANNOT_SKILL_NEED_TARGET	Wer ist die Zielperson?
CANNOT_SKILL_NOT_ENOUGH_HP	Ich habe nicht genug HP!
CANNOT_SKILL_NOT_ENOUGH_SP	Ich habe nicht genug MP!
CANNOT_SKILL_NOT_HORSE_SKILL	Ich kann dies nicht beim Reiten benutzen.
CANNOT_SKILL_NOT_MATCHABLE_WEAPON	Ich kann diese Fertigkeit nicht mit dieser Waffe benutzen.
CANNOT_SKILL_NOT_YET_LEARN	Ich habe diese Fertigkeit nicht gelernt.
CANNOT_SKILL_ONLY_FOR_ALLIANCE	Diese Fertigkeit betrifft nur Gruppenmitglieder.
CANNOT_SKILL_ONLY_FOR_CORPSE	Dies betrifft nur Tote.
CANNOT_SKILL_REMOVE_FISHING_ROD	Ich kann diesen Skill nicht mit einer Angelrute benutzen.
CANNOT_SKILL_SELF_IN_SAFE	Ich kann von hier aus nicht angreifen.
CANNOT_SKILL_USE_SELF	Ich kann diese Fertigkeit nicht auf mich selbst anwenden.
CANNOT_SKILL_WAIT_COOLTIME	Ich kann diese Fertigkeit noch nicht benutzen.
CANNOT_USE	Du kannst diese Fähigkeit nicht benutzen.
CANNOT_WHISPER_DEST_REFUSE	%s hat das Flüstern blockiert.	SA
CANNOT_WHISPER_NOT_LOGON	%s ist nicht online.	SA
CANNOT_WHISPER_SELF_REFUSE	Du kannst niemandem etwas zuflüstern, wenn du das Flüstern komplett blockiert hast.	SNA
CATACUMB	Teufelskatakombe	
CATEGORY_0_NAME	All Offers	
CATEGORY_0_SUB_0_NAME	Battle pass
CATEGORY_0_SUB_1_NAME	Perso packs
CATEGORY_1_NAME	Daily Usable	
CATEGORY_2_NAME	Cosmetics	
CATEGORY_2_SUB_0_NAME	Weapons Skins	
CATEGORY_2_SUB_1_NAME	Body Costume	
CATEGORY_2_SUB_2_NAME	Hairstyles	
CATEGORY_2_SUB_3_NAME	Sash Skin	
CATEGORY_2_SUB_4_NAME	Mount Skin
CATEGORY_3_NAME	Pets and mounts	
CATEGORY_3_SUB_0_NAME	Mounts	
CATEGORY_3_SUB_1_NAME	Leveable pets	
CATEGORY_3_SUB_2_NAME	Normal pets	
CATEGORY_4_NAME	Vouchers	
CATEGORY_5_NAME	Reinforce Costume	
CATEGORY_5_SUB_0_NAME	Weapon Skin	
CATEGORY_5_SUB_1_NAME	Body Costume	
CATEGORY_5_SUB_2_NAME	Hairstyles	
CATEGORY_5_SUB_3_NAME	Mount Skin	
CATEGORY_5_SUB_4_NAME	Sash Skin
CATEGORY_6_NAME	Premium Packages	
CATEGORY_7_NAME	Rings
CHANNEL	Kanal	
CHANNEL_EMPTY_SERVER	Nicht-Server	
CHANNEL_NORMAL	Kanal %d	
CHANNEL_NOTIFY_FULL	Dieser Kanal ist voll! Bitte wähle einen anderen.	
CHANNEL_NOT_FIND_INFO	Es wurden keine Informationen über diesen Channel gefunden.	
CHANNEL_PVP	Freies Duell	
CHANNEL_SELECT_CHANNEL	Wähle den Channel	
CHANNEL_SELECT_REGION	Wähle die Region.	
CHANNEL_SELECT_SERVER	Wähle den Server	
CHANNEL_STATE_FULL	Vollständig	
CHANNEL_STATE_MED	Mittel, mittel	
CHANNEL_STATE_NORMAL	Normal	
CHANNEL_STATE_OFF	...	
CHARACTER_ASSASSIN	Ninja	
CHARACTER_CREATE_APPEARANCE1	Stil 1	
CHARACTER_CREATE_APPEARANCE2	Stil 2	
CHARACTER_CREATE_FEMALE	Weiblich	
CHARACTER_CREATE_MALE	Männlich	
CHARACTER_CREATE_MODE	Charakter erstellen	
CHARACTER_NAME	Name	
CHARACTER_SELECT_MODE	Server auswählen	
CHARACTER_SHAMAN	Schamane	
CHARACTER_SURA	Sura	
CHARACTER_WARRIOR	Krieger	
CHATTING_SETTING_ADD	Tabellierung hinzufügen	
CHATTING_SETTING_ADD_MAX	Du kannst dem Chat nicht mehr Wimpern hinzufügen.	
CHATTING_SETTING_CANCLE	Abbrechen	
CHATTING_SETTING_CANT_CHANGE_TITLE	Du kannst diesen Chat-Namen nicht verwenden.	
CHATTING_SETTING_CHANGE_TITLE_NAME	Willst du den Namen für diesen Chat speichern?	
CHATTING_SETTING_CHANGE_TITLE_NOT	Der Name des allgemeinen Chats kann nicht geändert werden.	
CHATTING_SETTING_CLEAR	Zurücksetzen?
CHATTING_SETTING_CLEAR_QUESTION	Willst du die Optionen zurücksetzen?	
CHATTING_SETTING_DEL	Registerkarte löschen	
CHATTING_SETTING_DETAIL	Chat-Optionen	
CHATTING_SETTING_DICE	Er sagt	
CHATTING_SETTING_DICE_SETTING	Sagt Optionen	
CHATTING_SETTING_EXP	Erfahrung	
CHATTING_SETTING_GOLD	Erhaltenes Gold	
CHATTING_SETTING_GUILD	Gilde	
CHATTING_SETTING_ITEM	Erhaltene Gegenstände	
CHATTING_SETTING_LANGUAGE	Sprache %d	
CHATTING_SETTING_LANGUAGE_CUR	Aktuelle Sprache: ( %s)	
CHATTING_SETTING_LANGUAGE_OFF	Aus	
CHATTING_SETTING_LANGUAGE_ON	ON EIN	
CHATTING_SETTING_LANGUAGE_ONOFF	Filter	
CHATTING_SETTING_LIST	Bereit	
CHATTING_SETTING_NOTICE	Nachricht	
CHATTING_SETTING_PARTY	Gruppe	
CHATTING_SETTING_SAVE	Speichern	
CHATTING_SETTING_SAVE_QUESTION	Willst du die folgenden änderungen %s speichern?	
CHATTING_SETTING_SHOUT	Königreich-Chat	
CHATTING_SETTING_SYSTEM	System	
CHATTING_SETTING_TABNAME	Chat-Name	
CHATTING_SETTING_TALKING	Allgemein	
CHATTING_SETTING_TITLE	Chat-Optionen	
CHAT_ALL	Alle
CHAT_DICE_INFO	Wurf
CHAT_GUILD	Gilde
CHAT_INFORMATION	Info
CHAT_INSULT_STRING	Dieser Satz hat ungültige Wörter enthalten.
CHAT_LOG	Alte Nachrichten anzeigen [L]
CHAT_LOG_TITLE	Chat-Protokoll
CHAT_NORMAL	Normal
CHAT_NOTICE	Server
CHAT_PARTY	Gruppe
CHAT_SEND_CHAT	Chat senden
CHAT_SEND_MEMO	Flüstern senden [Shift+Enter]
CHAT_SHOUT	Anrufen
CHAT_SHOUT_LIMIT	Du kannst nur alle 15 Sekunden anrufen.
CHEST_TOOLTIP_TEXT	Sicht auf die Truhe	
COMBAT_ZONE_CURRENT_REAL_POINTS	Gefechtspunkte: %d	
COMBAT_ZONE_SHOP_EXCEED_LIMIT_TODAY	Du hast dein Tageslimit für die Verwendung von Punkten bereits überschritten.	
COMBAT_ZONE_SHOP_NOT_ENOUGH_BATTLE_POINT	Du hast nicht genug Kampfpunkte.	
COMBAT_ZONE_SHOP_OVERFLOW_LIMIT_TODAY	Das aktuelle Limit + der Preis des Artikels überschreiten das maximale Limit.	
COMBAT_ZONE_TOOLTIP_BATTLE_POTION	KampfTrank der Kampfzone	SNA
CONNECT_ACCOUNT	Verbinden
COSTUME_SLOT_CARCAJ	Pfeilköcher	
COSTUME_SLOT_COSTUME_ARMOR	Kostüm	
COSTUME_SLOT_COSTUME_HAIR	Hairstyle	
COSTUME_SLOT_COSTUME_SASH	Schulterband Skin	
COSTUME_SLOT_COSTUME_WEAPON	Waffenskin	
COSTUME_SLOT_EFECT_ARMOR	Rüstungseffekt	
COSTUME_SLOT_EFECT_WEAPON	Waffeneffekt	
COSTUME_SLOT_MOUNT	Reittier	
COSTUME_SLOT_PET	Normales Haustier	
COSTUME_SLOT_PET_OFICIAL	Wachsendes Haustier	
CREATE_ERROR_GM_NAME	Du darfst 'GM' nicht in deinem Charakternamen verwenden.
CREATE_ERROR_INSULT_NAME	Dieser Name ist ungültig.
CREATE_EXIST_SAME_NAME	Ein anderer Charakter hat bereits diesen Namen.
CREATE_FAILURE	Du kannst den Charakter nicht erstellen
CREATE_GM_NAME	GM
CREATE_INPUT_NAME	Gib den Namen ein.
DAY	Tage	
DECEMBER	Dezember	
DELETE_ACCOUNT	Löschen
DETAILS_1	Str. gegen Halbmenschen
DETAILS_12	Angriffswert
DETAILS_13	Verteidigung
DETAILS_14	Durchschnittsschaden
DETAILS_15	Wid. Durchschnittssch.
DETAILS_16	Fertigkeitsschaden
DETAILS_17	Widerstand Fertigkeitssch.
DETAILS_2	Widerstand gegen Halbmenschen
DETAILS_20	Krit. Trefferchance
DETAILS_21	Durchb. Treffer
DETAILS_22	Wid. krit. Treffer
DETAILS_23	Wid. durchb. Treffer
DETAILS_3	Stark gegen Orks
DETAILS_36	Stark gegen Krieger
DETAILS_37	Stark gegen Ninjas
DETAILS_38	Stark gegen Suras
DETAILS_39	Stark gegen Schamanen
DETAILS_4	Stark gegen Untote
DETAILS_41	Abwehr gegen Krieger
DETAILS_42	Abwehr gegen Ninja
DETAILS_43	Abwehr gegen Sura
DETAILS_44	Abw. gegen Schamanen
DETAILS_46	Schwertverteidigung
DETAILS_47	Zweihandverteidigung
DETAILS_48	Dolchverteidigung
DETAILS_5	Stark gegen Monster
DETAILS_50	Glockenverteidigung
DETAILS_51	Fächerverteidigung
DETAILS_52	Pfeilverteidigung
DETAILS_53	Ohnmachtschance
DETAILS_54	Verlangsamungschance
DETAILS_55	Vergiftungschance
DETAILS_56	Giftwiderstand
DETAILS_59	Lebensraub
DETAILS_6	Str. gegen Zodiac Mon.
DETAILS_60	MP-Diebstahl
DETAILS_61	TP-Wiederherstellung
DETAILS_62	MP-Wiederherstellung
DETAILS_63	Angriff blocken
DETAILS_64	Pfeilangriff ausweichen
DETAILS_65	Nahkampfangriff reflektieren
DETAILS_66	TP-Wiederherstellung bei Kill
DETAILS_67	MP-Wiederherstellung beim Töten
DETAILS_68	% Extra-TP	
DETAILS_69	% Extra-MP	
DETAILS_7	Stark gegen Tiere
DETAILS_72	Verteidigungswert
DETAILS_73	Doppelte EXP
DETAILS_74	Drop Chance
DETAILS_75	Doppeltes Yang
DETAILS_76	Magieresistenz
DETAILS_78	% der Bonus-EP	
DETAILS_79	% des Yang-Bonus	
DETAILS_8	Stark gegen Esoterische
DETAILS_80	% des Bonus Drop	
DETAILS_81	Bonus Str	
DETAILS_82	Bonus vit	
DETAILS_83	Bonus Int	
DETAILS_84	Bonus Dex	
DETAILS_85	Max. TP	
DETAILS_86	Max. MP	
DETAILS_87	Vel. Hub	
DETAILS_88	Vel. Spell	
DETAILS_89	Vel. Bewegung	
DETAILS_9	Stark gegen Teufel
DEVILTOWER	Dämonenturm	
DOUBLE_BOSS_LOOT_EVENT	Doppelte Bossbeute	
DOUBLE_METIN_LOOT_EVENT	Doppelte Metin-Beute	
DOUBLE_MISSION_BOOK_EVENT	Drop von Missionsbüchern	
DO_YOU_BUY_ITEM1	Willst du %s für %s Yang kaufen?
DO_YOU_BUY_ITEM2	Möchtest du %s (%s Lots) für %s Yang kaufen?
DO_YOU_DROP_MONEY	Willst du %d Yang abgeben?
DO_YOU_SELL_ITEM1	Willst du %s für %s Yang verkaufen?
DO_YOU_SELL_ITEM2	Willst du %s (%s Lots) für %s Yang verkaufen?
DO_YOU_WANT_CREATE_SHOP	Willst du einen Shop für %s Yang eröffnen?	
DO_YOU_WANT_GET_BACK_ITEM	Willst du %s aus dem Shop entfernen?	
DO_YOU_WANT_OPEN_SLOT	Slot freischalten	
DRAGON_SOUL_CANNOT_REFINE	Dieser Drachenstein kann nicht veredelt werden.
DRAGON_SOUL_CANNOT_REFINE_MORE	Dieser Drachenstein hat bereits die höchste Stufe erreicht.
DRAGON_SOUL_EQUIP_WARNING1	Es ist schwierig, einen Drachenstein zu entfernen, wenn er einmal angebracht ist.
DRAGON_SOUL_EQUIP_WARNING2	Willst du trotzdem weitermachen?
DRAGON_SOUL_EXPIRED	Abgelaufener Drachenstein
DRAGON_SOUL_INVALID_DRAGON_SOUL	Das ist der falsche Drachenstein.
DRAGON_SOUL_IS_NICHT_DRAGON_SOUL	Das ist kein Drachenstein.
DRAGON_SOUL_NICHT_DRAGON_SOUL_REFINE_STONE	Das ist nicht der richtige Drachenstein.	
DRAGON_SOUL_NOT_ENOUGH_MATERIAL	Du hast nicht genug Material zum Verfeinern.
DRAGON_SOUL_STEP_LEVEL1	Klarheit: matt,
DRAGON_SOUL_STEP_LEVEL2	Klarheit: klar,
DRAGON_SOUL_STEP_LEVEL3	Klarheit: lupenrein,
DRAGON_SOUL_STEP_LEVEL4	Klarheit: brillant,
DRAGON_SOUL_STEP_LEVEL5	Klarheit: exzellent,
DRAGON_SOUL_STRENGTH	Level: +%d	SA
DRAGON_SOUL_UNEQUIP_WARNING1	Der Drachenstein kann dabei zerstört werden.
DRAGON_SOUL_UNEQUIP_WARNING2	Willst du trotzdem weitermachen?
DRAGON_SOUL_UNMATCHED_SLOT	Das ist der falsche Slot.
DRAGON_SOUL_UNQUALIFIED	Du kannst die Drachenstein-Alchemie noch nicht benutzen.
DROP_ITEM_FAILURE_EQUIP_ITEM	Du kannst ausgerüstete Gegenstände nicht fallen lassen.
DROP_ITEM_FAILURE_PRIVATE_SHOP	Du kannst keine Gegenstände fallen lassen, solange ein privater Laden geöffnet ist.
DROP_MONEY_FAILURE_1000_OVER	Du kannst maximal 999 Yang fallen lassen.
DUNGEONINFO_CANENTER	Verfügbar	
DUNGEONINFO_CANTENTER	Geringes Niveau	
DUNGEONINFO_COMPLETE	Erledigt:	
DUNGEONINFO_COOLDOWN	Abklingende Zeit:	
DUNGEONINFO_GROUP	Gruppe:	
DUNGEONINFO_LEVELRANGE	Stufe:	
DUNGEONINFO_MAX_DMG	Maximaler Schaden:	
DUNGEONINFO_MIN_TIME	Rekordzeit:	
DUNGEONINFO_NO	Nicht erforderlich	
DUNGEONINFO_STATISTICS	Statistik	
DUNGEONINFO_TICKET	Dungeonschlüssel:	
DUNGEONINFO_TITLE	Dungeon-Informationen	
DUNGEONINFO_WARP	Willst du dich zum Eingang teleportieren?	
DUNGEONINFO_YES	Ja	
DUNGEONTIMER_FLOOR	%d.Flor	
DUNGEONTIMER_WAVE	%d.Wave	
DUNGEON_COOLDOWN_EVENT	Dungeon-Abklingzeit	
DUNGEON_INFO_TELEPORT	Teleport	
DUNGEON_TICKET_LOOT_EVENT	Ritual of Blood Event (F11)	
EMOTION_ANGRY	Verschlimmerung
EMOTION_ATTRACTIVE	Verführung
EMOTION_BANTER	Spöttisch
EMOTION_CHEERS_1	Jubel 1
EMOTION_CHEERS_2	Jubel 2
EMOTION_CHEERUP	Ermutigung	
EMOTION_CHOOSE_ONE	Wähle ein Ziel.
EMOTION_CLAP	Klatschen
EMOTION_CLAP_KISS	Kuss
EMOTION_CONGRATULATION	Beifall
EMOTION_DANCE_1	Tanz 1	
EMOTION_DANCE_2	Tanz 2	
EMOTION_DANCE_3	Tanz 3	
EMOTION_DANCE_4	Tanz 4	
EMOTION_DANCE_5	Tanz 5	
EMOTION_DANCE_6	Gagnam Style	
EMOTION_FORGIVE	Vergebung
EMOTION_FRENCH_KISS	Zungenkuss
EMOTION_JOY	Freude
EMOTION_SAD	Traurig
EMOTION_SHY	Ablehnung
EMOTION_SLAP	Treffer
EMPIRE_A	Shinsoo-Königreich	
EMPIRE_B	Chunjo Königreich	
EMPIRE_C	Jinno-Königreich	
EVENT_CALENDAR_TITLE	Eventkalender: %s	
EVENT_DURATION	Dauer:	
EVENT_END_AT	Endet in: 	
EVENT_MANAGER_WINDOW_TITLE	Eventkalender: %s - %d	
EREIGNIS_MONAT_3	März	
VERANSTALTUNGS_MONAT_4	April	
VERANSTALTUNG_MONAT_5	Mai	
EVENT_MONAT_6	Juni	
VERANSTALTUNG_MONAT_7	Juli	
EREIGNIS_MONAT_8	August	
EVENT_MONAT_9	September	
EVENT_START_AT	Beginnt: 	
EVENT_TOOLTIP_DOESNT_HAVE_EVENT	An diesem Tag gibt es kein Event.	
EVENT_TOOLTIP_TITLE	Tag %s:	
EXCHANGE_CANNOT_GIVE	Dieser Gegenstand kann nicht gehandelt werden.
EXCHANGE_CANT_EDIT_MONEY	Du kannst die Summe jetzt nicht ändern.
EXCHANGE_FAILURE_EQUIP_ITEM	Du kannst ausgerüstete Gegenstände nicht tauschen.
EXCHANGE_MONEY	Summe
EXCHANGE_TITLE	Handel mit %s (%d)
EXP_EVENT	Erfahrungsereignis: %d%%	
FEBRUARY	Februar	
FISHING_FAILURE	Du hast den Köder verloren.
FISHING_NOTIFY1	Es sieht so aus, als ob %s am Haken hängt.
FISHING_NOTIFY2	Es sieht so aus, als ob %s am Haken hängt.
FISHING_SUCCESS1	Du hast %s gefangen!
FISHING_SUCCESS2	Du hast %s aus dem Wasser gezogen!
FISHING_UNKNOWN	Etwas hat den Köder genommen, aber du kannst nicht sehen, was es ist.
FISHING_WRONG_PLACE	Du kannst hier nicht angeln.
FLAMEDUNGEON	Rote Drachenfestung	
FOR_FEMALE	für weiblich	
FOR_MALE	für männlich	
GAME_CANNOT_MINING	Du kannst beim Reiten kein Erz abbauen.
GAME_PICK_EXP	Du hast % der Erfahrung erhalten.	
GAME_PICK_MONEY	Du hast %s erhalten.
GUILDWAR_CTF_TITLE	Eroberungsflagge	
GUILDWAR_NORMAL_TITLE	Schlachtfeld	
GUILDWAR_WARP_TITLE	Krieg im Sand	
GUILD_BOARD_ID	Mitglied	
GUILD_BOARD_TEXT	Nachricht
GUILD_BUILDING_GRADE	Rang
GUILD_BUILDING_NAME	Name des Gebäudes
GUILD_CANNOT_HEAL_GSP_ANYMORE	Die Energie des Drachengeistes ist bereits vollständig wiederhergestellt.
GUILD_COMMENT	Schreiben
GUILD_CREATE_ERROR_INSULT_NAME	Der Gildenname ist nicht gültig.
GUILD_DEFAULT_GRADE	Gildenmitglieder
GUILD_DELETE	Löschen
GUILD_DEPOSIT	Ablegen
GUILD_DO_YOU_HEAL_GSP	Willst du %s Yang verwenden, um %d Einheiten des Drachengeistes wiederherzustellen?
GUILD_DO_YOU_JOIN	hat dich eingeladen. Willst du der Gilde beitreten?
GUILD_EMPTY_AREA	Leeres Land
GUILD_FACILITY	Nebengebäude
GUILD_GEM	Edelstein
GUILD_HEADQUARTER	Hauptgebäude
GUILD_HEAL_GSP	Drachengeist wiederherstellen
GUILD_INFO_ENEMY_GUILD_EMPTY	Keine
GUILD_MARK_NOT_ENOUGH_LEVEL	Mindeststufe von 3 erforderlich
GUILD_MEMBER_JOB	Klasse
GUILD_MEMBER_KNIGHT	Kämpfer
GUILD_MEMBER_LEVEL	Stufe
GUILD_MEMBER_NAME	Mitglied
GUILD_MEMBER_RANK	Rang
GUILD_MEMBER_SPECIFIC_GRAVITY	Exp. Donada	
GUILD_NAME	Gildenname	
GUILD_NOT_ENOUGH_MATERIAL	Es gibt nicht genug Material für dieses Gebäude.	
GUILD_NOT_ENOUGH_MONEY	Es gibt nicht genug Yang für dieses Gebäude.	
GUILD_NO_NOTICE_PERMISSION	Du hast nicht die Erlaubnis, eine Anzeige zu machen.	
GUILD_OBJECT	Item(s)e	
GUILD_OFFER_EXP	Erfahrung investieren	
GUILD_SHORT_EXP	Es gibt nicht genug Erfahrungspunkte.	
GUILD_TILE_BASEINFO	Territoriale Informationen
GUILD_TILE_BOARD	Gildennachrichten
GUILD_TILE_GRADE	Rechteverwaltung
GUILD_TILE_INFO	Gilden-Informationen
GUILD_TILE_MEMBER	Mitglied
GUILD_TILE_SKILL	Gilden-Fähigkeiten
GUILD_WAR_LIMIT_30MIN	Zeit: 30 Minuten	
GUILD_WAR_REWARD_POTION	Belohnung: Der Gewinner erhält einen Trank.	
GUILD_WAR_USE_BATTLE_MAP	Ort: Gildenkriegssand	
GUILD_WAR_USE_NORMAL_MAP	Ort: Normale Karte	
GUILD_WAR_WIN_CHECK_SCORE	Das grösste Ergebnis gewinnt den Krieg.	
GUILD_WAR_WIN_TAKE_AWAY_FLAG1	Erobere die Flagge des Feindes	
GUILD_WAR_WIN_TAKE_AWAY_FLAG2	und bringe sie zu deiner Basis.	
GUILD_WAR_WIN_WIPE_OUT_GUILD	Besiege alle Feinde, um zu gewinnen.	
GUILD_WITHDRAW	Alternative	
GUILD_YOU_DO_NOT_JOIN	Du bist kein Mitglied einer Gilde	
HALLOWEEN_EVENT	Halloween-Event	
HORSE_HEALTH0	Tot
HORSE_HEALTH1	Verhungert
HORSE_HEALTH2	Hungrig
HORSE_HEALTH3	Satt
HORSE_LEVEL1	Normales Pferd
HORSE_LEVEL2	Kampfpferd
HORSE_LEVEL3	Militärpferd
HOUR	Stunden	
HOW_MANY_ITEM_DO_YOU_DROP1	Willst du %s abgeben?
HOW_MANY_ITEM_DO_YOU_DROP2	Möchtest du %s %d fallen lassen?
HYDRADUNGEON	Schiffsverteidigung	
MELEYDUNGEON	Meleys Versteck
INPUT_MATRIX_CARD_NUMBER	Gib den Code der Matrixkarte ein.	
INPUT_MATRIX_CARD_TITLE	Matrixkarte	
INPUT_PRIVATE_CODE_DIALOG_DESCRIPTION	Gib hier die Löschung deiner Kontöinstellungen ein.	
